,,,LHV (MJ/kg),Price (£/tonne),Boiler Efficiency,kgCO2e/MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 Prices and Emission factors,Natural Gas,42,292,0.9,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blue Hydrogen,120,1800,0.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,INCENTIVES,,,,,,,,,,,,,,,,,,,
Technology,PLANT,CO2 Emissions from natural gas combustion (kg/yr),Price of steam produced from Natural gas combustion (£/MWh),Thermal Energy required from fuel (MJ/year),Market Occupancy,,Hydrogen fuel required (kg/year) ,Hydrogen fuel required (tonne/year) ,Hydrogen output (MWh/year),Hydrogen operating cost (£/year),CO2 Emissions from Hydrogen (kg/year),Price of steam produced from Hydrogen combustion (£/MWh),,Renewable hydrogen incentive (£/MWh),CONSTRAINT 4,Impact of incentive (£/MWh),CONSTRAINT 3,Market Share,CONSTRAINT 2,NEW HYDROGEN DEMAND,,CUMULATIVE HYDROGEN DEMAND,A,152705.3923,t/yr,,,,,,0.01,,0.154294933
,,,,,,,,,,,,,,,,,,58.95%,<=,,,INITIAL HYDROGEN DEMAND,Ao,96071.958,t/yr,,,,,,0.02,,0.33456489
Boiler 37,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 38,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,32,<=,0,=<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 39,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 40,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 41,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 42,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 43,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 44,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 45,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 46,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 47,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 48,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 49,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 50,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 51,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,32,<=,0,=<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 52,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 53,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 54,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 55,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 56,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 57,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 58,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 59,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 60,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 61,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 62,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 63,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 64,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,37,<=,-4,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 65,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 66,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 67,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 68,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
