,,,LHV (MJ/kg),Price (£/tonne),Boiler Efficiency,kgCO2e/MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 Prices and Emission factors,Natural Gas,42,292,0.9,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blue Hydrogen,120,1800,0.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,INCENTIVES,,,,,,,,,,,,,,,,,,,
Technology,PLANT,CO2 Emissions from natural gas combustion (kg/yr),Price of steam produced from Natural gas combustion (£/MWh),Thermal Energy required from fuel (MJ/year),Market Occupancy,,Hydrogen fuel required (kg/year) ,Hydrogen fuel required (tonne/year) ,Hydrogen output (MWh/year),Hydrogen operating cost (£/year),CO2 Emissions from Hydrogen (kg/year),Price of steam produced from Hydrogen combustion (£/MWh),,Renewable hydrogen incentive (£/MWh),CONSTRAINT 4,Impact of incentive (£/MWh),CONSTRAINT 3,Market Share,CONSTRAINT 2,NEW HYDROGEN DEMAND,,CUMULATIVE HYDROGEN DEMAND,A,152705.3923,t/yr,,,,,,0.01,,0.154294933
,,,,,,,,,,,,,,,,,,58.95%,<=,,,INITIAL HYDROGEN DEMAND,Ao,96071.958,t/yr,,,,,,0.02,,0.33456489
Boiler 244,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 245,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 246,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 247,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 248,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 249,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 250,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 251,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 252,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 253,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 254,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 255,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 256,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,50,=<=,-18,<=,0,<=,0,,,,,,,,,,,,,
Boiler 257,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 258,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 259,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 260,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 261,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 262,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 263,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 264,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 265,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 266,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 267,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 268,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 269,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 270,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 271,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 272,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 273,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 274,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 275,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 276,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 277,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 278,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 279,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 280,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 281,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,32,<=,0,=<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 282,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 283,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 284,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 285,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 286,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 287,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 288,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 289,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 290,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 291,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 292,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 293,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 294,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,32,<=,0,=<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 295,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 296,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 297,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 298,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 299,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 300,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 301,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 302,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 303,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 304,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 305,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 306,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 307,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,32,<=,0,=<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 308,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 309,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 310,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 311,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 312,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 313,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 314,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 315,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 316,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 317,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0.003542001,=<=,340.287,,,,,,,,,,,,,
Boiler 318,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 319,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 320,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,37,<=,-4,<=,0,<=,0,,,,,,,,,,,,,
Boiler 321,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 322,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 323,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 324,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 325,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 326,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 327,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 328,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 329,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 330,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 331,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 332,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 333,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 334,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 335,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 336,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 337,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 338,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 339,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 340,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 341,UK Chemical Industry…,4537140,27.80952381,81668520,0.007083971,,680571,680.571,20417.13,1225027.8,408342.6,60,,41,<=,-9,<=,0.007083971,=<=,680.571,,,,,,,,,,,,,
Boiler 342,UK Chemical Industry…,10586660,27.80952381,190559880,0.016529267,,1587999,1587.999,47639.97,2858398.2,952799.4,60,,41,<=,-9,<=,0.014588797,<=,1401.574269,,,,,,,,,,,,,
Boiler 343,UK Chemical Industry…,10586660,27.80952381,190559880,0.016529267,,1587999,1587.999,47639.97,2858398.2,952799.4,60,,41,<=,-9,<=,0.014588797,<=,1401.574269,,,,,,,,,,,,,
Boiler 344,UK Chemical Industry…,10586660,27.80952381,190559880,0.016529267,,1587999,1587.999,47639.97,2858398.2,952799.4,60,,41,<=,-9,<=,0.014588797,<=,1401.574269,,,,,,,,,,,,,
Boiler 345,UK Chemical Industry…,10586660,27.80952381,190559880,0.016529267,,1587999,1587.999,47639.97,2858398.2,952799.4,60,,32,<=,0,=<=,0.014588797,<=,1401.574269,,,,,,,,,,,,,
Boiler 346,UK Chemical Industry…,10586660,27.80952381,190559880,0.016529267,,1587999,1587.999,47639.97,2858398.2,952799.4,60,,41,<=,-9,<=,0.014588797,<=,1401.574269,,,,,,,,,,,,,
Boiler 347,UK Chemical Industry…,10586660,27.80952381,190559880,0.016529267,,1587999,1587.999,47639.97,2858398.2,952799.4,60,,41,<=,-9,<=,0.014588797,<=,1401.574269,,,,,,,,,,,,,
Boiler 348,UK Chemical Industry…,10586660,27.80952381,190559880,0.016529267,,1587999,1587.999,47639.97,2858398.2,952799.4,60,,41,<=,-9,<=,0.014588797,<=,1401.574269,,,,,,,,,,,,,
Boiler 349,UK Chemical Industry…,10586660,27.80952381,190559880,0.016529267,,1587999,1587.999,47639.97,2858398.2,952799.4,60,,41,<=,-9,<=,0.012724162,<=,1222.435134,,,,,,,,,,,,,
Boiler 350,UK Chemical Industry…,10586660,27.80952381,190559880,0.016529267,,1587999,1587.999,47639.97,2858398.2,952799.4,60,,41,<=,-9,<=,0.012724162,<=,1222.435134,,,,,,,,,,,,,
Boiler 351,UK Chemical Industry…,15721200,27.80952381,282981600,0.024545976,,2358180,2358.18,70745.4,4244724,1414908,60,,41,<=,-9,<=,0.012724162,<=,1222.435134,,,,,,,,,,,,,
Boiler 352,UK Chemical Industry…,15721200,27.80952381,282981600,0.024545976,,2358180,2358.18,70745.4,4244724,1414908,60,,41,<=,-9,<=,0.0136218,<=,1308.673002,,,,,,,,,,,,,
Boiler 353,UK Chemical Industry…,15721200,27.80952381,282981600,0.024545976,,2358180,2358.18,70745.4,4244724,1414908,60,,41,<=,-9,<=,0.024545976,=<=,2358.18,,,,,,,,,,,,,
Boiler 354,UK Chemical Industry…,15721200,27.80952381,282981600,0.024545976,,2358180,2358.18,70745.4,4244724,1414908,60,,41,<=,-9,<=,0.024545976,=<=,2358.18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
